accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EA47606971	EA_000	EA285451,EA285464	306.0361	[M-H]-	4129546	C15H14ClNO2S	5.6
EA03301912	EA_000	EA277651,EA277664	423.1384	[M-H]-	5281037	C23H24N2O4S	6.2
EA39383763	EA_000	EA010351,EA010364	314.1068	[M-H]-	6426848	C14H21NO5S	7.7
EA47236121	EA_000	EA050251,EA050264	328.1224	[M-H]-	6426849	C15H23NO5S	7.8
EA21295068	EA_000	EA026051,EA026064	320.0632	[M-H]-	6426850	C12H19NO5S2	6.6
EA00182422	EA_000	EA255551,EA255564	357.149	[M-H]-	6435415	C16H26N2O5S	5.2
EA04128379	EA_000	EA281551,EA281564	377.2082	[M-H]-	9810996	C20H30N2O5	9.0
EA53063630	EA_000	EA264951	263.0485	[M-H]-	9871558	C9H10F2N2O5	1.9
EA72710723	EA_000	EA291951	555.9517	[M-H]-	10507011	C10H4F17NO4S	15.9
EA85380367	EA_000	EA277851,EA277864	451.1041	[M-H]-	11419598	C17H20N6O7S	7.8
EA06012969	EA_000	EA274051,EA274064	444.0207	[M-H]-	11657899	C13H9F6N5O4S	10.5
EA45427246	EA_000	EA273351	456.9727	[M-H]-	11733192	C10H2F16O2	16.1
EA99506348	EA_000	EA292451	442.9723	[M-H]-	14250578	C8H6F13O4P	12.0
EA53591799	EA_000	EA010051,EA010064	264.1241	[M-H]-	14924483	C14H19NO4	7.4
EA23109448	EA_000	EA010251,EA010264	264.1241	[M-H]-	15842091	C14H19NO4	7.5
EA85511268	EA_000	EA026551,EA026564	278.1398	[M-H]-	15842092	C15H21NO4	9.0
EA07994426	EA_000	EA066551,EA066564	256.0649	[M-H]-	16212221	C11H15NO4S	5.7
EA32674281	EA_000	EA066451,EA066464	224.0728	[M-H]-	16212222	C11H12FNO3	5.9
EA55833574	EA_000	EA066351,EA066364	274.0555	[M-H]-	16212225	C11H14FNO4S	5.9
EA90980521	EA_000	EA273451	388.0939	[M-H]-	21584515	C21H15N3O5	8.9
EA82759521	EA_000	EA292051	569.9673	[M-H]-	22286931	C11H6F17NO4S	16.5
EA42210632	EA_000	EA266951,EA266964	386.9644	[M-H]-	22673275	C12H4Cl2F6N4	12.5
EA99608050	EA_000	EA025951,EA025964	270.0806	[M-H]-	86290064	C12H17NO4S	7.2
EA45188671	EA_000	EA070551,EA070564	322.0867	[M-H]-	86290102	C14H17N3O4S	5.5
EA16986579	EA_000	EA253551,EA253564	300.0911	[M-H]-	86290104	C13H19NO5S	5.9
EA77054977	EA_000	EA253651,EA253664	250.1085	[M-H]-	86290105	C13H17NO4	6.3
EA16176183	EA_000	EA273251	356.979	[M-H]-	129411141	C8H2F12O2	13.6
EA49948420	EA_000	EA027951	196.1204	[M-H]-	135398733	C8H15N5O	4.5
EA36951711	EA_000	EA066851	182.1047	[M-H]-	135408659	C7H13N5O	3.3
EA25307010	EA_000	EA000451,EA000464	186.0673	[M-H]-	135413636	C10H9N3O	5.1
EA41310933	EA_000	EA034751	210.136	[M-H]-	135495928	C9H17N5O	5.4
EA57547517	EA_000	EA027751	168.0891	[M-H]-	135510207	C6H11N5O	1.5
EA75784671	EA_000	EA067251	182.1047	[M-H]-	135612794	C7H13N5O	2.9
