accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
BML7282836	BML_000	BML00590,BML00595,BML00600	273.0768	[M-H]-	4788	C15H14O5	6.714000000000001
BML6541995	BML_000	BML00588,BML00593,BML00598	435.1296	[M-H]-	4789	C21H24O10	5.265
BML3843256	BML_000	BML00671,BML00679,BML00687	309.098	[M-H]-	4815	C15H18O7	3.702
BML0438077	BML_000	BML00672,BML00680,BML00688	291.0874	[M-H]-	4816	C15H16O6	4.208
BML3407542	BML_000	BML00725	382.1521	[M-H]-	4893	C19H21N5O4	5.598
BML1168022	BML_000	BML00673,BML00681,BML00689	227.07129999999998	[M-H]-	5056	C14H12O3	5.386
BML7972293	BML_000	BML01096	285.098	[M-H]-	5145	C13H18O7	1.814
BML7382238	BML_000	BML01335,BML01340,BML01345	861.1883000000001	[M-H]-	5199	C42H38O20	6.351
BML4465101	BML_000	BML01404	225.0881	[M-H]-	5280	C10H14N2O4	2.625
BML3544659	BML_000	BML00939,BML00945	350.147	[M-H]-	5529	C15H21N5O5	3.962
BML2092934	BML_000	BML00990,BML00998,BML01006	391.2854	[M-H]-	5645	C24H40O4	10.795
BML3840046	BML_000	BML00262,BML00269,BML00276	343.0823	[M-H]-	5646	C18H16O7	10.751
BML3471496	BML_000	BML01036,BML01043,BML01050	361.202	[M-H]-	5754	C21H30O5	7.409
BML8095341	BML_000	BML00987,BML00995	321.005	[M-H]-	5959	C11H12Cl2N2O5	4.234
BML5944565	BML_000	BML00986,BML00994,BML01002	440.1324	[M-H]-	6037	C19H19N7O6	3.9979999999999998
