accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM46815993	SM_001	SM812701	220.1121	[M+H]+	7013	C16H13N	12.812
SM09193014	SM_001	SM801001	170.0964	[M+H]+	7015	C12H11N	8.437
SM76913539	SM_001	SM802903	195.0804	[M+H]+	7018	C14H10O	11.341
SM97579565	SM_001	SM812301	269.1648	[M+H]+	7031	C17H20N2O	12.0
SM74594139	SM_001	SM808501	131.0604	[M+H]+	7045	C8H6N2	6.143
SM99974746	SM_001	SM884302	232.1332	[M+H]+	7050	C14H17NO2	11.355
SM89814860	SM_001	SM808102	198.0913	[M+H]+	7168	C13H11NO	9.334
SM69688114	SM_001	SM819701,SM879903	120.0556	[M+H]+	7220	C6H5N3	3.187
SM18766499	SM_001	SM882102	136.0215	[M+H]+	7222	C7H5NS	7.857
SM03977800	SM_001	SM801802	132.0808	[M+H]+	7224	C9H9N	8.889
SM01985093	SM_001	SM810401	161.9872	[M+H]+	7257	C6H5Cl2N	8.385
SM33581672	SM_001	SM803501	136.0757	[M+H]+	7417	C8H9NO	0.894
SM19642628	SM_001	SM811601,SM882201	136.1121	[M+H]+	7464	C9H13N	2.3575
SM45358468	SM_001	SM808401	108.0808	[M+H]+	7504	C7H9N	0.437
SM59519174	SM_001	SM812601	108.0808	[M+H]+	7515	C7H9N	0.476
SM04441905	SM_001	SM880703	314.9853	[M+H]+	7547	C13H9Cl3N2O	13.114
SM19383054	SM_001	SM842501	165.1022	[M+H]+	7560	C9H12N2O	5.491
SM04059942	SM_001	SM884202	253.0464	[M+H]+	7619	C11H12N2OS2	11.242
SM39376587	SM_001	SM825601	213.9862	[M+H]+	7683	C8H8BrNO	8.693
SM71217692	SM_001	SM811502,SM825801	128.0262	[M+H]+	7812	C6H6ClN	1.0825
SM87362734	SM_001	SM807301	108.0808	[M+H]+	7937	C7H9N	0.437
SM12145575	SM_001	SM806602	122.0964	[M+H]+	7953	C8H11N	0.493
SM01568732	SM_001	SM869903	127.0727	[M+H]+	7955	C3H6N6	0.412
SM50566760	SM_001	SM826601	100.1121	[M+H]+	7965	C6H13N	0.501
SM11859459	SM_001	SM804503	96.0444	[M+H]+	7971	C5H5NO	0.593
SM66520572	SM_001	SM817603	74.0964	[M+H]+	8007	C4H11N	0.4
SM46080901	SM_001	SM815506	68.0495	[M+H]+	8027	C4H5N	0.915
SM74850648	SM_001	SM837103	86.0964	[M+H]+	8082	C5H11N	0.387
SM68323283	SM_001	SM836501	88.0757	[M+H]+	8083	C4H9NO	0.405
SM12510966	SM_001	SM867901	179.1278	[M+H]+	8189	C8H18O4	3.916
SM26511937	SM_001	SM824902,SM879502	327.0781	[M+H]+	8289	C18H15O4P	12.7375
SM71774360	SM_001	SM825201,SM879001	284.9612	[M+H]+	8295	C6H12Cl3O4P	9.093
SM89733138	SM_001	SM818501	391.2843	[M+H]+	8343	C24H38O4	15.685
SM06920142	SM_001	SM876702	288.2533	[M+H]+	8430	C16H33NO3	12.948
SM84355748	SM_001	SM801601	150.0913	[M+H]+	8443	C9H11NO	4.187
SM61807917	SM_001	SM878603	150.0372	[M+H]+	8446	C8H7NS	9.295
SM22108346	SM_001	SM837002	247.0965	[M+H]+	8560	C14H14O4	11.296
SM25994048	SM_001	SM833201	215.0703	[M+H]+	8572	C13H10O3	10.635
SM32294460	SM_001	SM800201	144.0808	[M+H]+	8640	C10H9N	2.789
SM05654813	SM_001	SM836601	220.1121	[M+H]+	8679	C16H13N	12.814
SM09594142	SM_001	SM821601,SM880101	134.0713	[M+H]+	8705	C7H7N3	7.015499999999999
SM11357099	SM_001	SM811101	217.0794	[M+H]+	8765	C12H12N2S	2.623
SM94045066	SM_001	SM870902	103.0614	[M+H]+	8859	C2H6N4O	0.412
SM36921086	SM_001	SM883701	223.154	[M+H]+	8925	C10H22O5	6.262
SM61863846	SM_001	SM874701	313.2162	[M+H]+	9051	C21H28O2	12.127
SM83447684	SM_001	SM818002,SM830901	280.1121	[M+H]+	9177	C21H13N	12.969000000000001
SM54253343	SM_001	SM803002	230.0964	[M+H]+	9180	C17H11N	8.927
SM12438160	SM_001	SM811901,SM830601	230.0964	[M+H]+	9181	C17H11N	12.4815
SM29716629	SM_001	SM826701	280.1121	[M+H]+	9183	C21H13N	14.107
SM87161498	SM_001	SM878003	194.0964	[M+H]+	9212	C14H11N	11.298
SM29486614	SM_001	SM815301,SM831203	119.0604	[M+H]+	9221	C7H6N2	6.3555
SM37287081	SM_001	SM809305	70.0287	[M+H]+	9255	C3H3NO	0.7
SM51604104	SM_001	SM815801	86.0059	[M+H]+	9256	C3H3NS	0.896
SM18863961	SM_001	SM883301	323.2346	[M+H]+	9275	C16H35O4P	19.898
SM97402441	SM_001	SM841202	249.0192	[M+H]+	9502	C9H10Cl2N2O2	10.844
SM92279747	SM_001	SM805401	112.0557	[M+H]+	9731	C6H6FN	0.461
SM71462251	SM_001	SM836003	120.0808	[M+H]+	10328	C8H9N	0.424
SM68194888	SM_001	SM801201	95.0604	[M+H]+	10439	C5H6N2	0.488
SM19833573	SM_001	SM833703	303.2319	[M+H]+	10569	C20H30O2	14.844
SM89638837	SM_001	SM808902	223.0754	[M+H]+	10680	C15H10O2	11.465
SM56074753	SM_001	SM821801	329.0591	[M+H]+	11315	C16H12N2O4S	13.403
SM67799837	SM_001	SM832302	175.0502	[M+H]+	11443	C9H6N2O2	8.033
SM37220642	SM_001	SM808601	170.0964	[M+H]+	11487	C12H11N	11.409
SM26035051	SM_001	SM875001	385.2373	[M+H]+	11683	C24H32O4	12.354
SM78271409	SM_001	SM821501	161.0597	[M+H]+	11833	C10H8O2	14.732
SM00488312	SM_001	SM809901	167.0451	[M+H]+	11876	C7H6N2O3	0.946
SM30393422	SM_001	SM800802	194.0964	[M+H]+	11937	C14H11N	9.134
SM84153194	SM_001	SM881701	182.0093	[M+H]+	11989	C8H7NS2	10.844
SM96817331	SM_001	SM801701	83.0604	[M+H]+	12749	C4H6N2	0.469
SM94741547	SM_001	SM814901	187.0754	[M+H]+	12842	C12H10O2	10.667
SM43038264	SM_001	SM825001,SM881301	279.0933	[M+H]+	13097	C18H15OP	11.118500000000001
SM42562268	SM_001	SM842801	228.1277	[M+H]+	13263	C9H17N5S	8.784
SM63893347	SM_001	SM822501,SM881501	251.0468	[M+H]+	13282	C12H11O4P	11.1755
SM39129337	SM_001	SM869701	100.0757	[M+H]+	13387	C5H9NO	0.846
SM84625431	SM_001	SM879401	242.1434	[M+H]+	13450	C10H19N5S	9.956
SM74699109	SM_001	SM871201	152.0165	[M+H]+	13625	C7H5NOS	7.587
SM26191143	SM_001	SM808801	203.0525	[M+H]+	13679	C12H10OS	9.39
SM96297721	SM_001	SM841101	174.0541	[M+H]+	13878	C5H8ClN5	3.748
SM47747947	SM_001	SM840401	214.1121	[M+H]+	13905	C8H15N5S	7.572
SM63855472	SM_001	SM823601,SM881601	200.074	[M+H]+	14110	C9H13NO2S	8.7325
SM68619219	SM_001	SM883903	123.0917	[M+H]+	14284	C7H10N2	0.411
SM49018543	SM_001	SM804001,SM804101	83.0604	[M+H]+	15073	C4H6N2	0.63
SM17860574	SM_001	SM849401	264.1758	[M+H]+	15387	C16H22FNO	6.331
SM99891521	SM_001	SM876801	230.2478	[M+H]+	15433	C14H31NO	10.848
SM22537978	SM_001	SM840201	222.0429	[M+H]+	15546	C10H8ClN3O	6.549
