accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
LQB4229788	LQB_000	LQB00314,LQB00315,LQB00700,LQB00701	859.5314999999999	[M-H]-	138215541	8.3582
LQB3940107	LQB_000	LQB00229,LQB00615	812.5197	[M-H]-	138216015	9.124788
LQB3000463	LQB_000	LQB00166,LQB00552	912.5699	[M+CH3COOH-H]-	138217019	8.772704
LQB1829839	LQB_000	LQB00302,LQB00303,LQB00688,LQB00689	871.5291	[M-H]-	138218607	8.493871
LQB6402630	LQB_000	LQB00122,LQB00508	838.5593	[M+CH3COOH-H]-	138219333	8.764194
LQB9195778	LQB_000	LQB00282,LQB00668	841.5005	[M-H]-	138219622	7.864452
LQB8808017	LQB_000	LQB00238,LQB00239,LQB00624,LQB00625	719.48485	[M-H]-	138220866	8.2551165
LQB0510209	LQB_000	LQB00280,LQB00281,LQB00666,LQB00667	843.518	[M-H]-	138221210	8.051424
LQB5181835	LQB_000	LQB00178,LQB00564	738.5031	[M-H]-	138221545	9.435002
LQB3582545	LQB_000	LQB00331,LQB00717	796.5157	[M-H]-	138224168	8.534056
LQB2176420	LQB_000	LQB00265,LQB00266,LQB00651,LQB00652	795.5156	[M-H]-	138225719	8.1474435
LQB5249425	LQB_000	LQB00225,LQB00611	780.5484	[M-H]-	138226315	10.89746
LQB2613697	LQB_000	LQB00044,LQB00430	678.6033	[M+CH3COOH-H]-	138227375	12.25477
LQB6514021	LQB_000	LQB00308,LQB00694	885.5508	[M-H]-	138227586	8.754183
LQB8576586	LQB_000	LQB00248,LQB00249,LQB00634,LQB00635	769.4972	[M-H]-	138230554	8.2432735
LQB7548264	LQB_000	LQB00159,LQB00545	890.5885	[M+CH3COOH-H]-	138231066	9.007365
LQB3523033	LQB_000	LQB00133,LQB00134,LQB00519,LQB00520	874.65405	[M+CH3COOH-H]-	138233987	12.289530000000001
LQB6325789	LQB_000	LQB00292,LQB00678	835.5323	[M-H]-	138234040	8.577491
LQB9668031	LQB_000	LQB00383,LQB00769	857.6688	[M+CH3COOH-H]-	138234396	11.71031
LQB1422334	LQB_000	LQB00023,LQB00024,LQB00409,LQB00410	568.4917499999999	[M+CH3COOH-H]-	138235827	9.008554499999999
LQB5753250	LQB_000	LQB00322,LQB00708	879.5082	[M-H]-	138235964	7.911642
LQB9749126	LQB_000	LQB00189,LQB00575	760.4916	[M-H]-	138237126	8.781098
LQB6088480	LQB_000	LQB00254,LQB00255,LQB00640,LQB00641	743.4854499999999	[M-H]-	138239342	8.0012685
LQB8693608	LQB_000	LQB00376,LQB00762	885.7028	[M+CH3COOH-H]-	138239786	12.85254
LQB6306473	LQB_000	LQB00013,LQB00399	722.6282	[M+CH3COOH-H]-	138240952	12.9035
LQB0440190	LQB_000	LQB00339,LQB00725	836.5433	[M-H]-	138241231	8.863055
LQB2657173	LQB_000	LQB00290,LQB00676	807.5014	[M-H]-	138241787	8.198328
LQB3084659	LQB_000	LQB00320,LQB00706	907.5339	[M-H]-	138243885	8.302807
LQB7802433	LQB_000	LQB00312,LQB00698	911.5652	[M-H]-	138244996	8.794852
LQB3431433	LQB_000	LQB00061,LQB00447	702.5989	[M+CH3COOH-H]-	138245482	11.40854
LQB7745682	LQB_000	LQB00324,LQB00710	911.5637	[M-H]-	138247874	8.774894
LQB2604328	LQB_000	LQB00163,LQB00549	882.616	[M+CH3COOH-H]-	138248063	10.7053
LQB1282690	LQB_000	LQB00185,LQB00571	714.5081	[M-H]-	138249942	9.325183
LQB3611271	LQB_000	LQB00386,LQB00772	817.6396	[M+CH3COOH-H]-	138253245	10.75175
LQB4204588	LQB_000	LQB00156,LQB00157,LQB00542,LQB00543	864.5715	[M+CH3COOH-H]-	138256331	8.9273815
LQB3241726	LQB_000	LQB00347,LQB00733	747.5618	[M+CH3COOH-H]-	138257398	8.712486
LQB1505832	LQB_000	LQB00377,LQB00378,LQB00379,LQB00380,LQB00763,LQB00764,LQB00765,LQB00766	759.5633250000001	[M+CH3COOH-H]-	138257782	8.540938
LQB1639387	LQB_000	LQB00374,LQB00375,LQB00760,LQB00761	869.67435	[M+CH3COOH-H]-	138258344	11.09692
LQB3784530	LQB_000	LQB00062,LQB00448	720.6467	[M+CH3COOH-H]-	138260618	13.23607
LQB1239716	LQB_000	LQB00371,LQB00372,LQB00373,LQB00757,LQB00758,LQB00759	871.6891666666667	[M+CH3COOH-H]-	138265057	12.203483333333333
