accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR72952438	PR_000	PR307373,PR307375,PR307377,PR307379,PR307381,PR307383,PR307385,PR307387,PR307389,PR307392,PR307394,PR308714	525.1613641725108	[M+HCOO]-	442534	C23H28O11	3.779251083333334
PR19937417	PR_000	PR307372,PR307374,PR307376,PR307378,PR307380,PR307382,PR307384,PR307386,PR307388,PR307390,PR307391,PR307393,PR308712	479.1558856133816	[M-H]-	442534	C23H28O11	3.779245846153847
PR32337466	PR_000	PR307280,PR307281,PR307282,PR307283,PR307284,PR307285,PR307286,PR307287,PR307288,PR307289,PR307290,PR308731	293.17583261051084	[M-H]-	442793	C17H26O4	7.449266666666667
PR75708078	PR_000	PR309034	323.1275	[M-H]-	480763	C20H20O4	7.58
PR29250280	PR_000	PR309041	391.1896	[M-H]-	480768	C25H28O4	9.05
PR71170287	PR_000	PR309043	423.1818	[M-H]-	480770	C25H28O6	9.08
PR94175026	PR_000	PR309026,PR309027	381.2057	[M-H]-	480815	C24H30O4	8.225
PR46946036	PR_000	PR308992	1093.5428	[M+HCOO]-	500375	C51H84O22	5.04
PR17465900	PR_000	PR309050	339.1228	[M-H]-	503731	C20H20O5	8.35
PR90813358	PR_000	PR309036	339.1229	[M-H]-	509245	C20H20O5	7.66
PR97230850	PR_000	PR309211	447.053	[M-H]-	547456	C16H20N2O9S2	3.11
PR47257790	PR_000	PR309404	250.0713	[M-H]-	562665	C12H13NO5	3.72
PR32310051	PR_000	PR305108,PR305110,PR305112,PR305114,PR305116,PR305118,PR305120,PR305122,PR305124,PR305126,PR305128,PR305130,PR308857	276.1241315210738	[M-H]-	573663	C15H19NO4	3.2680615384615384
PR96920506	PR_000	PR304642,PR304645,PR304648,PR304651,PR304654,PR304657,PR304660,PR304663,PR304666,PR304669,PR304672,PR304675,PR308894	749.39197337092	[M+HCOO]-	579054	C43H52N4O5	4.938276615384615
PR04436851	PR_000	PR304641,PR304644,PR304647,PR304650,PR304653,PR304656,PR304659,PR304662,PR304665,PR304668,PR304671,PR304674,PR308890	703.3864940133816	[M-H]-	579054	C43H52N4O5	4.938276615384615
PR17303156	PR_000	PR307973,PR307974,PR307976,PR307978,PR307980,PR307981,PR307983,PR307985,PR307987,PR307989,PR307991,PR307993,PR308740	407.1711413401508	[M+HCOO]-	586372	C20H26O6	4.770046153846153
