accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AC89579533	AC_003	AC000357,AC000358,AC000359,AC000360,AC000361	610.3018	[M+H]+	7067483	2.85
AC19918297	AC_003	AC000862,AC000863,AC000864,AC000865,AC000866	352.2014	[M+H]+	9863281	3.3899999999999997
AC77658936	AC_003	AC000555,AC000556,AC000557,AC000558,AC000559	533.274	[M+H]+	9915017	3.46
AC39187554	AC_003	AC000560,AC000561,AC000562,AC000563	555.2559	[M+Na]+	9915017	3.46
AC76268969	AC_003	AC000268,AC000269,AC000270,AC000271,AC000272	267.1585	[M+H]+	10038552	2.52
AC39038379	AC_003	AC000564,AC000565,AC000566,AC000567,AC000568	543.128	[M+H]+	10053075	3.75
AC96226057	AC_003	AC000907,AC000908,AC000909,AC000910,AC000911	359.1497	[M+H]+	10089772	3.2299999999999995
AC44491669	AC_003	AC000912,AC000913,AC000914,AC000915	381.1316	[M+Na]+	10089772	3.23
AC22288944	AC_003	AC000150,AC000151,AC000152,AC000153,AC000154	425.2164000000001	[M+H]+	10093830	3.14
AC34438561	AC_003	AC000155,AC000156,AC000157,AC000158,AC000159	447.19840000000005	[M+Na]+	10093830	3.14
AC54090945	AC_003	AC000757,AC000758,AC000759,AC000760,AC000761	313.067	[M+H]+	10267534	3.8199999999999994
AC88170709	AC_003	AC000819,AC000820,AC000821,AC000822,AC000823	429.26300000000003	[M+H]+	10477690	3.95
AC31000099	AC_003	AC000610,AC000611,AC000612,AC000613,AC000614	899.5046999999998	[M+H]+	10509958	4.07
AC57971906	AC_003	AC000615,AC000616,AC000617	921.4865999999998	[M+Na]+	10509958	4.07
AC79351964	AC_003	AC000407,AC000408,AC000409,AC000410,AC000411	373.129	[M+H]+	10666980	2.74
AC34926468	AC_003	AC000412,AC000413,AC000414	395.11089999999996	[M+Na]+	10666980	2.74
AC42693847	AC_003	AC000618,AC000619,AC000620,AC000621,AC000622	899.5046999999998	[M+H]+	10677176	4.07
AC66895471	AC_003	AC000623,AC000624,AC000625,AC000626	921.4866	[M+Na]+	10677176	4.07
AC73183794	AC_003	AC000303,AC000304,AC000305,AC000306,AC000307	576.3175	[M+H]+	10875520	2.8
AC32181713	AC_003	AC000308,AC000309,AC000310,AC000311,AC000312	598.2994	[M+Na]+	10875520	2.8
AC09459598	AC_003	AC000165,AC000166,AC000167,AC000168,AC000169	285.2055	[M+H]+	10934979	3.5
AC36424478	AC_003	AC000837,AC000838,AC000839,AC000840,AC000841	433.1236	[M+H]+	10982906	2.8
AC56828293	AC_003	AC000462,AC000463,AC000464,AC000465,AC000466	654.4319	[M+H]+	11262300	5.18
AC05894154	AC_003	AC000467,AC000468,AC000469,AC000470	676.4138	[M+Na]+	11262300	5.18
AC99162705	AC_003	AC000170,AC000171,AC000172,AC000173,AC000174	283.1899	[M+H]+	11426065	3.5699999999999994
AC35570195	AC_003	AC000671,AC000672,AC000673,AC000674,AC000675	329.1014	[M+H]+	13786694	4.54
AC45165095	AC_003	AC000194,AC000195,AC000196,AC000197,AC000198	383.1695	[M+H]+	13818797	2.84
AC23877897	AC_003	AC000199,AC000200,AC000201,AC000202,AC000203	405.1514	[M+Na]+	13818797	2.84
AC63768908	AC_003	AC000752,AC000753,AC000754,AC000755,AC000756	512.2386	[M+H]+	13887805	3.7700000000000005
AC81603083	AC_003	AC000872,AC000873,AC000874,AC000875,AC000876	516.2303	[M+H]+	14759319	3.2599999999999993
AC26614941	AC_003	AC000806,AC000807,AC000808,AC000809,AC000810	392.2076	[M+H]+	15386782	2.59
AC40642095	AC_003	AC000278,AC000279,AC000280,AC000281,AC000282	253.1793	[M+H]+	15431312	3.44
AC37798046	AC_003	AC000283,AC000284,AC000285,AC000286,AC000287	235.1687	[M-H2O+H]+	15431312	3.44
AC46979222	AC_003	AC000044,AC000045,AC000046	329.065	[M+H]+	15558498	2.7999999999999994
AC19003858	AC_003	AC000047,AC000048,AC000049	351.047	[M+Na]+	15558498	2.7999999999999994
AC02449922	AC_003	AC000115,AC000116,AC000117,AC000118,AC000119	381.1538	[M+H]+	21120844	3.2
AC48109204	AC_003	AC000214,AC000215,AC000216,AC000217,AC000218	390.1919	[M+H]+	21608802	2.77
AC96651883	AC_003	AC000219,AC000220,AC000221,AC000222,AC000223	412.1738	[M+Na]+	21608802	2.77
AC84083646	AC_003	AC000189,AC000190,AC000191,AC000192,AC000193	434.1817	[M+H]+	23728435	2.68
AC70418511	AC_003	AC000135,AC000136,AC000137,AC000138,AC000139	253.1429	[M+H]+	23748522	3.6800000000000006
AC54599775	AC_003	AC000897,AC000898,AC000899,AC000900,AC000901	447.13919999999996	[M+H]+	25067253	2.6
AC98219449	AC_003	AC000902,AC000903,AC000904,AC000905,AC000906	469.12119999999993	[M+Na]+	25067253	2.6
AC95807142	AC_003	AC000076,AC000077,AC000078,AC000079,AC000080	366.1807	[M+H]+	25163935	2.92
AC61940481	AC_003	AC000827,AC000828,AC000829,AC000830,AC000831	501.2114	[M+H]+	38353601	3.5
AC78006692	AC_003	AC000658,AC000659,AC000660,AC000661	690.4054	[M+H]+	42608359	3.02
AC04820076	AC_003	AC000733,AC000734,AC000735,AC000736,AC000737	1022.6742	[M+H]+	46226665	4.88
AC59988276	AC_003	AC000738,AC000739,AC000740,AC000741	1044.6562	[M+Na]+	46226665	4.88
AC07174100	AC_003	AC000771,AC000772,AC000773,AC000774,AC000775	322.1293	[M+H]+	51136281	2.17
AC66124102	AC_003	AC000430,AC000431,AC000432,AC000433,AC000434	251.0908	[M+H]+	54680783	2.32
AC24669996	AC_003	AC000050,AC000051,AC000052,AC000053,AC000054	337.1541	[M+H]+	54682463	3.87
AC71357652	AC_003	AC000637,AC000638,AC000639,AC000640,AC000641	198.1119	[M+H]+	54683011	3.16
AC08161453	AC_003	AC000601,AC000602,AC000603,AC000604,AC000605	529.2427	[M+H]+	56928155	3.25
AC61001410	AC_003	AC000606,AC000607,AC000608,AC000609	551.2246	[M+Na]+	56928155	3.25
AC93886112	AC_003	AC000444,AC000445,AC000446,AC000447,AC000448	682.4632	[M+H]+	57339252	6.67
AC43213291	AC_003	AC000449,AC000450,AC000451,AC000452	704.4451	[M+Na]+	57339252	6.67
AC56210258	AC_003	AC000435,AC000436,AC000437,AC000438,AC000439	668.4475	[M+H]+	57339253	5.85
AC53571829	AC_003	AC000440,AC000441,AC000442,AC000443	690.4295	[M+Na]+	57339253	5.85
AC15909794	AC_003	AC000742,AC000743,AC000744,AC000745,AC000746	448.1974	[M+H]+	70698220	2.73
AC97504475	AC_003	AC000489,AC000490,AC000491,AC000492,AC000493	706.4003	[M+H]+	71312439	2.83
AC73520498	AC_003	AC000494,AC000495,AC000496,AC000497,AC000498	728.3822	[M+Na]+	71312439	2.83
AC33207679	AC_003	AC000415,AC000416,AC000417,AC000418,AC000419	926.6419	[M+NH4]+	89254632	4.96
AC77391134	AC_003	AC000420,AC000421,AC000422,AC000423,AC000424	931.5973	[M+Na]+	89254632	4.96
AC28554257	AC_003	AC000781,AC000782,AC000783,AC000784,AC000785	406.1868	[M+H]+	91820316	2.66
