accession	inchikey1	model	ionization
AU27532755	DNXHEGUUPJUMQT	0	positive
AU27624857	GBBSUAFBMRNDJC	0	positive
AU27653718	YOSHYTLCDANDAN	4	positive
AU27931539	JDSHMPZPIAZGSV	0	positive
AU27992902	SNPPWIUOZRMYNY	9	positive
AU28001426	SEOVTRFCIGRIMH	0	positive
AU28076825	XOXHILFPRYWFOD	6	positive
AU28168678	XEGGRYVFLWGFHI	6	positive
AU28367889	OCAPBUJLXMYKEJ	0	positive
AU28376917	SEQDDYPDSLOBDC	0	positive
AU28397916	GCFBRXLSHGKWDP	3	positive
AU28593327	KYYIDSXMWOZKMP	0	positive
AU28738433	DLNKOYKMWOXYQA	9	positive
AU28812358	SAADBVWGJQAEFS	0	positive
AU28904956	SEEPANYCNGTZFQ	0	positive
AU29228683	KXNXWINFSDKMHD	0	positive
AU29374588	ZQTNQVWKHCQYLQ	0	positive
AU29397471	IPVCSECPEVHQOV	0	positive
AU29451187	YEDUAINPPJYDJZ	0	positive
AU29459645	TXUZVZSFRXZGTL	0	positive
AU29541401	QFYZFYDOEJZMDX	0	positive
AU29674065	VXIXUWQIVKSKSA	0	positive
AU29766580	HPHUVLMMVZITSG	0	positive
AU29877654	SGUAFYQXFOLMHL	5	positive
AU29931163	INOGLHRUEYDAHX	0	positive
AU29934088	VAYOSLLFUXYJDT	0	positive
AU29993822	FVFVNNKYKYZTJU	0	positive
AU30146546	UXDPXZQHTDAXOZ	2	positive
AU30696035	KQPKPCNLIDLUMF	0	positive
AU30785367	PQTBTIFWAXVEPB	0	positive
AU30800768	ZQTNQVWKHCQYLQ	0	positive
AU31221217	YMYKMSAZEZQEER	0	positive
AU31234860	BPFYOAJNDMUVBL	0	positive
AU31253642	SECXISVLQFMRJM	0	positive
AU31374969	ABRIMXGLNHCLIP	0	positive
AU31389023	NOCJXYPHIIZEHN	0	positive
AU31398810	BMPDWHIDQYTSHX	0	positive
AU31416340	STJLVHWMYQXCPB	0	positive
AU31499329	MFOUDYKPLGXPGO	0	positive
AU31519679	QPPBRPIAZZHUNT	2	positive
AU31553466	CEMAWMOMDPGJMB	7	positive
AU31576253	ZEUITGRIYCTCEM	0	positive
AU32015941	RFHAOTPXVQNOHP	1	positive
AU32035026	PPTYJKAXVCCBDU	0	positive
AU32052521	SPFYMRJSYKOXGV	0	positive
AU32103567	WVQBLGZPHOPPFO	6	positive
AU32275543	XWTYSIMOBUGWOL	0	positive
AU32308413	CKQHAYFOPRIUOM	0	positive
AU32424099	FFKNXXCOXIZLJD	0	positive
AU32479405	LNOOSYCKMKZOJB	0	positive
AU32701287	FSQKKOOTNAMONP	0	positive
AU32838332	WTLBZVNBAKMVDP	0	positive
AU32876123	IPRJXAGUEGOFGG	0	positive
AU32923397	WJCNZQLZVWNLKY	6	positive
AU32946712	XIQVNETUBQGFHX	7	positive
AU33196865	GSDSWSVVBLHKDQ	4	positive
AU33225129	DDRJAANPRJIHGJ	0	positive
AU33304708	NHDHVHZZCFYRSB	0	positive
AU33476162	LEZHOZPJYAQQNU	0	positive
AU33612990	RQVYBGPQFYCBGX	0	positive
AU33953221	JDSHMPZPIAZGSV	0	positive
AU33972787	KWTSXDURSIMDCE	0	positive
AU34074932	GJSURZIOUXUGAL	0	positive
AU34101094	GJPICJJJRGTNOD	0	positive
AU34336454	AKUJBENLRBOFTD	4	positive
AU34341477	PVHUJELLJLJGLN	0	positive
AU34397255	FNCMBMZOZQAWJA	0	positive
AU34555843	METKIMKYRPQLGS	7	positive
AU34747242	WIIZWVCIJKGZOK	0	positive
AU34835571	DWFZBUWUXWZWKD	0	positive
AU35075619	RIZMRRKBZQXFOY	6	positive
AU35076779	NTHXOOBQLCIOLC	3	positive
AU35182271	RMMXTBMQSGEXHJ	0	positive
AU35227127	YFGYUFNIOHWBOB	0	positive
AU35228023	WYVVKGNFXHOCQV	0	positive
AU35291938	NOOCSNJCXJYGPE	0	positive
AU35308265	JTVPZMFULRWINT	2	positive
AU35510479	PHMHHVKFXZNTKU	0	positive
AU35651309	IUBSYMUCCVWXPE	0	positive
AU35678108	GFNANZIMVAIWHM	0	positive
AU35791825	WPMWEFXCIYCJSA	0	positive
AU36062325	STEPQTYSZVCJPV	0	positive
AU36251325	AKPLHCDWDRPJGD	0	positive
AU36258736	NJIZUWGMNCUKGU	0	positive
AU36506585	XWPZUHJBOLQNMN	0	positive
AU36716661	ASWVTGNCAZCNNR	2	positive
AU36777632	KPUREKXXPHOJQT	0	positive
AU36841054	HHUQPWODPBDTLI	0	positive
